"","income.$15K-$19,9K","education.1","age","income.$30K-$34,9K","income.$7,5K-$9,9K","state.SC","income.$12,5K-$14,9K","income.$10K-$12,49K","gender.Female","income.Less-$5K","income.$25K-$29,9K","vote"
"1",1,0,1.3587364351826,0,0,0,0,0,0,0,0,"Yes"
"2",0,0,-1.44588971584865,0,0,0,0,0,0,0,1,"Yes"
"3",0,0,-1.44588971584865,1,0,0,0,0,1,0,0,"No"
"4",0,0,-0.530093421634369,0,0,0,0,0,0,0,0,"Yes"
"5",0,0,2.04558365584331,0,0,0,0,0,1,0,0,"Yes"
"6",0,0,1.64492277712456,1,0,0,0,0,1,0,0,"Yes"
"7",0,0,-1.0452288371299,0,0,0,0,0,0,0,0,"No"
"8",0,1,1.47321097195938,0,0,0,0,0,0,0,0,"Yes"
"9",0,0,0.271228335803131,0,0,0,0,0,0,0,0,"Yes"
"10",0,1,1.64492277712456,0,0,0,1,0,0,0,0,"Yes"
"11",0,0,1.24426189840581,0,0,0,0,0,0,0,0,"Yes"
"12",0,0,-0.530093421634369,0,0,0,0,0,1,0,0,"Yes"
"13",0,0,-0.186669811304012,0,0,0,0,0,0,0,0,"Yes"
"14",1,0,1.24426189840581,0,0,0,0,0,1,0,0,"Yes"
"15",0,0,-1.67483878940223,0,0,0,0,0,1,0,0,"Yes"
"16",0,0,0.614651946133488,0,0,0,0,0,0,0,0,"Yes"
"17",0,0,-0.243907079692405,0,0,0,1,0,0,0,0,"Yes"
"18",0,1,-0.243907079692405,0,0,0,0,0,0,0,0,"Yes"
"19",0,0,-1.67483878940223,0,0,0,0,0,1,0,0,"Yes"
"20",0,1,1.58768550873617,0,1,0,0,0,0,0,0,"Yes"
"21",0,0,0.0422792622495595,0,0,0,0,0,1,0,0,"No"
"22",0,0,0.900838288075452,1,0,0,0,0,0,0,0,"Yes"
"23",0,1,1.98834638745492,0,1,0,0,0,1,0,0,"Yes"
"24",0,0,0.385702872579917,0,0,0,0,0,1,0,0,"Yes"
"25",0,1,0.385702872579917,0,0,0,0,1,0,0,0,"Yes"
"26",0,0,-0.301144348080798,0,0,0,0,0,0,0,0,"Yes"
"27",0,0,0.0422792622495595,0,0,0,0,0,0,0,0,"Yes"
"28",0,0,-1.0452288371299,0,0,0,1,0,1,0,0,"Yes"
"29",0,0,0.843601019687059,0,0,0,0,0,0,0,0,"Yes"
"30",0,1,1.75939731390135,0,0,0,0,0,0,0,0,"Yes"
"31",1,1,-0.701805226799547,0,0,0,0,0,0,0,0,"No"
"32",0,0,0.328465604191524,0,0,0,0,0,1,0,0,"Yes"
"33",0,0,-0.701805226799547,0,0,0,0,0,0,0,0,"Yes"
"34",0,0,0.213991067414738,0,0,0,0,0,1,0,1,"Yes"
"35",1,0,0.0422792622495595,0,0,0,0,0,0,0,0,"Yes"
"36",0,0,-0.472856153245976,0,0,0,0,1,0,0,0,"Yes"
"37",1,0,0.385702872579917,0,0,0,0,0,0,0,0,"Yes"
"38",0,0,-0.415618884857583,0,0,0,0,0,0,0,1,"Yes"
"39",0,0,-0.816279763576333,0,0,0,0,0,1,0,0,"Yes"
"40",0,0,1.58768550873617,0,0,0,0,0,1,0,0,"Yes"
"41",0,1,2.04558365584331,0,0,0,0,0,1,0,0,"Yes"
"42",0,0,1.70216004551295,0,1,0,0,0,1,0,0,"Yes"
"43",0,1,-1.50312698423705,0,0,0,0,0,1,1,0,"No"
"44",0,0,0.729126482910274,0,0,0,0,0,0,0,0,"Yes"
"45",0,0,-0.243907079692405,0,0,0,1,0,0,0,0,"Yes"
"46",0,0,1.24426189840581,0,0,0,1,0,0,0,0,"Yes"
"47",0,0,0.557414677745095,0,0,0,0,0,0,0,0,"Yes"
"48",0,0,-1.38865244746026,0,0,0,0,0,1,0,0,"Yes"
"49",0,0,0.958075556463845,0,0,0,0,0,0,0,0,"Yes"
"50",0,0,-0.75904249518794,0,0,0,0,0,1,1,0,"Yes"
"51",0,0,-1.21694064229508,0,0,0,0,0,0,0,0,"No"
"52",0,0,0.786363751298667,0,0,0,0,0,0,0,0,"Yes"
"53",1,1,0.786363751298667,0,0,0,0,0,0,0,0,"No"
"54",0,0,2.04558365584331,0,0,0,0,1,1,0,0,"Yes"
"55",0,0,-1.50312698423705,0,0,0,0,0,1,1,0,"No"
"56",0,0,-1.78931332617901,0,0,0,0,0,1,0,0,"Yes"
